,Line,Species,ABS,time,regime,media,Time,CO2history,assayCO2,transplant,replicate,type,days,generations
41,E,Chlamydomonas,0.1187,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
42,F,Chlamydomonas,0.1202,02-27-2012 18:12:00,2,liquid,0,high,ambient,8,NA,microplate,413,783.98
43,A,Navicula,0.1303,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
44,B,Navicula,0.1356,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
45,C,Navicula,0.1391,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
46,D,Navicula,0.1244,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
47,E,Navicula,0.1332,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
48,F,Navicula,0.1207,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
49,A,Nitzschia,0.1393,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
50,B,Nitzschia,0.1367,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
51,C,Nitzschia,0.13,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
52,D,Nitzschia,0.127,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
53,E,Nitzschia,0.131,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
54,F,Nitzschia,0.1261,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
55,A,Scenedesmus,0.126,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
56,B,Scenedesmus,0.1327,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
57,C,Scenedesmus,0.1347,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
58,D,Scenedesmus,0.1322,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
59,E,Scenedesmus,0.1317,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
60,F,Scenedesmus,0.1226,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
61,A,Pseudokirchneriella,0.1379,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
62,B,Pseudokirchneriella,0.136,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
63,C,Pseudokirchneriella,0.1288,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
64,D,Pseudokirchneriella,0.1297,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
65,E,Pseudokirchneriella,0.1441,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
66,F,Pseudokirchneriella,0.1283,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
67,A,Synechococcus,0.1341,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
68,B,Synechococcus,0.1289,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
69,C,Synechococcus,0.1283,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
70,D,Synechococcus,0.1238,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
71,E,Synechococcus,0.1292,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
72,F,Synechococcus,0.1316,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
73,A,Anabaena,0.1366,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
74,B,Anabaena,0.1331,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
75,C,Anabaena,0.1388,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
76,D,Anabaena,0.127,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
77,E,Anabaena,0.1252,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
78,F,Anabaena,0.1287,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
79,A,Chlamydomonas,0.1296,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
80,B,Chlamydomonas,0.1237,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
81,C,Chlamydomonas,0.1236,02-27-2012 18:27:00,2,liquid,0.010243056,ambient,high,8,NA,microplate,413.0104167,783.99
82,D,Chlamydomonas,0.1247,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
83,E,Chlamydomonas,0.1251,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
84,F,Chlamydomonas,0.126,02-27-2012 18:27:00,2,liquid,0.010243056,high,high,8,NA,microplate,413.0104167,783.99
85,A,Navicula,0.1316,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
86,B,Navicula,0.1312,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
87,C,Navicula,0.1411,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
88,D,Navicula,0.1328,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
89,E,Navicula,0.1482,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
90,F,Navicula,0.1416,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
91,A,Nitzschia,0.1442,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
92,B,Nitzschia,0.1413,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
93,C,Nitzschia,0.1302,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
94,D,Nitzschia,0.135,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
95,E,Nitzschia,0.1422,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
96,F,Nitzschia,0.1402,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
97,A,Scenedesmus,0.1227,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
98,B,Scenedesmus,0.134,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
99,C,Scenedesmus,0.1487,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
100,D,Scenedesmus,0.137,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
101,E,Scenedesmus,0.1356,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
102,F,Scenedesmus,0.1338,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
103,A,Pseudokirchneriella,0.1447,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
104,B,Pseudokirchneriella,0.1376,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
105,C,Pseudokirchneriella,0.1333,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
106,D,Pseudokirchneriella,0.1299,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
107,E,Pseudokirchneriella,0.1391,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
108,F,Pseudokirchneriella,0.1299,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
109,A,Synechococcus,0.142,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
110,B,Synechococcus,0.1414,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
111,C,Synechococcus,0.1324,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
112,D,Synechococcus,0.1287,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
113,E,Synechococcus,0.1326,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
114,F,Synechococcus,0.1318,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
115,A,Anabaena,0.1442,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
116,B,Anabaena,0.1406,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
117,C,Anabaena,0.1261,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
118,D,Anabaena,0.1287,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
119,E,Anabaena,0.1187,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
120,F,Anabaena,0.1229,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
121,A,Chlamydomonas,0.132,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
122,B,Chlamydomonas,0.1331,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
123,C,Chlamydomonas,0.1262,02-27-2012 18:32:00,2,liquid,0.013738426,ambient,low,8,NA,microplate,413.0138889,784
124,D,Chlamydomonas,0.1234,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
125,E,Chlamydomonas,0.1309,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
126,F,Chlamydomonas,0.1222,02-27-2012 18:32:00,2,liquid,0.013738426,high,low,8,NA,microplate,413.0138889,784
127,A,Navicula,0.1493,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
128,B,Navicula,0.149,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
129,C,Navicula,0.1542,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
130,D,Navicula,0.1417,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
131,E,Navicula,0.152,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
132,F,Navicula,0.1526,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
133,A,Nitzschia,0.1547,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
134,B,Nitzschia,0.1469,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
135,C,Nitzschia,0.1611,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
136,D,Nitzschia,0.1456,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
137,E,Nitzschia,0.1663,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
138,F,Nitzschia,0.1538,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
139,A,Scenedesmus,0.1466,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
140,B,Scenedesmus,0.1512,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
141,C,Scenedesmus,0.1828,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
142,D,Scenedesmus,0.1573,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
143,E,Scenedesmus,0.1702,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
144,F,Scenedesmus,0.1526,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
145,A,Pseudokirchneriella,0.1639,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
146,B,Pseudokirchneriella,0.1641,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
147,C,Pseudokirchneriella,0.1666,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
148,D,Pseudokirchneriella,0.1641,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
149,E,Pseudokirchneriella,0.1778,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
150,F,Pseudokirchneriella,0.1469,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
151,A,Synechococcus,0.1728,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
152,B,Synechococcus,0.1656,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
153,C,Synechococcus,0.1821,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
154,D,Synechococcus,0.1506,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
155,E,Synechococcus,0.173,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
156,F,Synechococcus,0.1527,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
157,A,Anabaena,0.1692,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
158,B,Anabaena,0.156,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
159,C,Anabaena,0.1499,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
160,D,Anabaena,0.1329,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
161,E,Anabaena,0.1381,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
162,F,Anabaena,0.1407,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
163,A,Chlamydomonas,0.1597,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
164,B,Chlamydomonas,0.139,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
165,C,Chlamydomonas,0.1527,02-28-2012 8:18:00,2,liquid,0.587638889,ambient,ambient,8,NA,microplate,413.5875,785.09
166,D,Chlamydomonas,0.141,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
167,E,Chlamydomonas,0.1558,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
168,F,Chlamydomonas,0.1477,02-28-2012 8:18:00,2,liquid,0.587638889,high,ambient,8,NA,microplate,413.5875,785.09
169,A,Navicula,0.1582,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
170,B,Navicula,0.1609,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
171,C,Navicula,0.1626,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
172,D,Navicula,0.152,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
173,E,Navicula,0.1622,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
174,F,Navicula,0.1521,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
175,A,Nitzschia,0.169,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
176,B,Nitzschia,0.1699,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
177,C,Nitzschia,0.1862,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
178,D,Nitzschia,0.1679,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
179,E,Nitzschia,0.1926,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
180,F,Nitzschia,0.1553,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
181,A,Scenedesmus,0.1856,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
182,B,Scenedesmus,0.1699,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
183,C,Scenedesmus,0.2019,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
184,D,Scenedesmus,0.1907,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
185,E,Scenedesmus,0.2093,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
186,F,Scenedesmus,0.1527,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
187,A,Pseudokirchneriella,0.1997,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
188,B,Pseudokirchneriella,0.1843,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
189,C,Pseudokirchneriella,0.1907,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
190,D,Pseudokirchneriella,0.1932,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
191,E,Pseudokirchneriella,0.2064,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
192,F,Pseudokirchneriella,0.17,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
193,A,Synechococcus,0.1656,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
194,B,Synechococcus,0.1818,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
195,C,Synechococcus,0.1798,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
196,D,Synechococcus,0.165,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
197,E,Synechococcus,0.175,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
198,F,Synechococcus,0.1558,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
199,A,Anabaena,0.1796,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
200,B,Anabaena,0.1819,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
201,C,Anabaena,0.2043,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
202,D,Anabaena,0.17,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
203,E,Anabaena,0.1749,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
204,F,Anabaena,0.1666,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
205,A,Chlamydomonas,0.1636,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
206,B,Chlamydomonas,0.1614,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
207,C,Chlamydomonas,0.1759,02-28-2012 8:09:00,2,liquid,0.581365741,ambient,high,8,NA,microplate,413.58125,785.08
208,D,Chlamydomonas,0.1666,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
209,E,Chlamydomonas,0.1801,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
210,F,Chlamydomonas,0.1564,02-28-2012 8:09:00,2,liquid,0.581365741,high,high,8,NA,microplate,413.58125,785.08
211,A,Navicula,0.1543,02-28-2012 11:30:00,2,liquid,0.720578704,ambient,ambient,8,NA,microplate,413.7208333,785.34
212,B,Navicula,0.1499,02-28-2012 11:30:00,2,liquid,0.720578704,ambient,ambient,8,NA,microplate,413.7208333,785.34
213,C,Navicula,0.1563,02-28-2012 11:30:00,2,liquid,0.720578704,ambient,ambient,8,NA,microplate,413.7208333,785.34
214,D,Navicula,0.1432,02-28-2012 11:30:00,2,liquid,0.720578704,high,ambient,8,NA,microplate,413.7208333,785.34
215,E,Navicula,0.1546,02-28-2012 11:30:00,2,liquid,0.720578704,high,ambient,8,NA,microplate,413.7208333,785.34
216,F,Navicula,0.1546,02-28-2012 11:30:00,2,liquid,0.720578704,high,ambient,8,NA,microplate,413.7208333,785.34
217,A,Nitzschia,0.164,02-28-2012 11:30:00,2,liquid,0.720578704,ambient,ambient,8,NA,microplate,413.7208333,785.34
218,B,Nitzschia,0.1527,02-28-2012 11:30:00,2,liquid,0.720578704,ambient,ambient,8,NA,microplate,413.7208333,785.34
