,period,date,Time,Line,assayCO2,Species,C02_chamber,CO2_airspace,CO2_media,pH,salinity,initial.temperature,final_temperature,regime,vessel
113,3,10-19-2010 11:00:00,0.92,C,ambient,Synechococcus,448,413,203,6.99,0.7,25,22.7,1,flask
114,3,10-19-2010 11:00:00,0.92,C,ambient,Anabaena,452,449,196,7,0.7,25,21.6,1,flask
115,3,10-19-2010 11:00:00,0.92,F,high,Navicula,1021,880,488,6.89,0.5,25,23.1,1,flask
116,3,10-19-2010 11:00:00,0.92,F,high,Nitzschia,1050,872,454,6.89,0.5,25,22.6,1,flask
117,3,10-19-2010 11:00:00,0.92,F,high,Scenedesmus,1060,857,375,6.9,0.5,25,22.8,1,flask
118,3,10-19-2010 11:00:00,0.92,F,high,Pseudokirchneriella,918,843,396,7.01,0.7,25,22.6,1,flask
119,3,10-19-2010 11:00:00,0.92,F,high,Synechococcus,1005,921,472,6.89,0.5,25,22.6,1,flask
120,3,10-19-2010 11:00:00,0.92,F,high,Anabaena,999,936,532,7,0.7,25,21.9,1,flask
121,3,10-20-2010 15:00:00,2.08,C,ambient,Navicula,444,391,94,7.04,0.7,25,22.9,1,flask
122,3,10-20-2010 15:00:00,2.08,C,ambient,Nitzschia,462,292,27,6.93,0.5,25,22.5,1,flask
123,3,10-20-2010 15:00:00,2.08,C,ambient,Scenedesmus,469,301,23,7.05,0.7,25,22.2,1,flask
124,3,10-20-2010 15:00:00,2.08,C,ambient,Pseudokirchneriella,458,391,62,7.03,0.7,25,22.3,1,flask
125,3,10-20-2010 15:00:00,2.08,C,ambient,Synechococcus,477,323,15,7.06,0.7,25,22.8,1,flask
126,3,10-20-2010 15:00:00,2.08,C,ambient,Anabaena,464,382,18,6.96,0.7,25,23.2,1,flask
127,3,10-20-2010 15:00:00,2.08,F,high,Navicula,991,561,126,6.99,0.5,25,22.5,1,flask
128,3,10-20-2010 15:00:00,2.08,F,high,Nitzschia,960,742,205,6.95,0.5,25,22.9,1,flask
129,3,10-20-2010 15:00:00,2.08,F,high,Scenedesmus,892,560,70,6.96,0.5,25,22.8,1,flask
130,3,10-20-2010 15:00:00,2.08,F,high,Pseudokirchneriella,1042,660,106,6.96,0.5,25,22.1,1,flask
131,3,10-20-2010 15:00:00,2.08,F,high,Synechococcus,994,730,42,6.93,0.5,25,22.7,1,flask
132,3,10-20-2010 15:00:00,2.08,F,high,Anabaena,1003,692,243,7.04,0.7,25,22.8,1,flask
133,3,10-21-2010 17:00:00,3.17,C,ambient,Navicula,428,181,26,7.11,0.7,25,22.7,1,flask
134,3,10-21-2010 17:00:00,3.17,C,ambient,Nitzschia,434,328,22,7.1,0.7,25,22.9,1,flask
135,3,10-21-2010 17:00:00,3.17,C,ambient,Scenedesmus,444,291,23,7.1,0.7,25,23,1,flask
136,3,10-21-2010 17:00:00,3.17,C,ambient,Pseudokirchneriella,445,368,30,6.95,0.5,25,22.7,1,flask
137,3,10-21-2010 17:00:00,3.17,C,ambient,Synechococcus,448,268,15,7.12,0.7,25,27.8,1,flask
138,3,10-21-2010 17:00:00,3.17,C,ambient,Anabaena,441,344,26,7.1,0.7,25,22.8,1,flask
139,3,10-21-2010 17:00:00,3.17,F,high,Navicula,963,593,35,7.06,0.7,25,22.7,1,flask
140,3,10-21-2010 17:00:00,3.17,F,high,Nitzschia,940,657,30,7.14,0.7,25,22.9,1,flask
141,3,10-21-2010 17:00:00,3.17,F,high,Scenedesmus,1031,660,27,7.06,0.5,25,23,1,flask
142,3,10-21-2010 17:00:00,3.17,F,high,Pseudokirchneriella,1062,563,44,7.04,0.5,25,22.3,1,flask
143,3,10-21-2010 17:00:00,3.17,F,high,Synechococcus,925,703,19,7.08,0.5,25,22.5,1,flask
144,3,10-21-2010 17:00:00,3.17,F,high,Anabaena,966,633,13,7.07,0.5,25,23,1,flask
145,3,10-22-2010 10:00:00,3.88,C,ambient,Navicula,454,156,30,7.13,0.7,25,22.4,1,flask
146,3,10-22-2010 10:00:00,3.88,C,ambient,Nitzschia,468,324,18,7.14,0.7,25,22.8,1,flask
147,3,10-22-2010 10:00:00,3.88,C,ambient,Scenedesmus,466,339,20,7.14,0.7,25,22.3,1,flask
148,3,10-22-2010 10:00:00,3.88,C,ambient,Pseudokirchneriella,453,397,27,7.13,0.7,25,21.7,1,flask
149,3,10-22-2010 10:00:00,3.88,C,ambient,Synechococcus,466,340,17,7.07,0.5,25,22.1,1,flask
150,3,10-22-2010 10:00:00,3.88,C,ambient,Anabaena,462,282,18,7.14,0.7,25,21.9,1,flask
151,3,10-22-2010 10:00:00,3.88,F,high,Navicula,1042,404,26,7.24,0.7,25,22.9,1,flask
152,3,10-22-2010 10:00:00,3.88,F,high,Nitzschia,1040,520,45,7.11,0.5,25,22.4,1,flask
153,3,10-22-2010 10:00:00,3.88,F,high,Scenedesmus,988,560,20,7.27,0.7,25,22.3,1,flask
154,3,10-22-2010 10:00:00,3.88,F,high,Pseudokirchneriella,983,678,38,7.1,0.5,25,22.2,1,flask
155,3,10-22-2010 10:00:00,3.88,F,high,Synechococcus,1034,513,16,7.16,0.5,25,22,1,flask
156,3,10-22-2010 10:00:00,3.88,F,high,Anabaena,962,624,12,7.14,0.5,25,21.7,1,flask
157,3,10-23-2010 15:00:00,5.08,C,ambient,Navicula,426,283,44,7.14,0.7,25,24.5,1,flask
158,3,10-23-2010 15:00:00,5.08,C,ambient,Nitzschia,402,328,32,7.24,0.5,25,25,1,flask
159,3,10-23-2010 15:00:00,5.08,C,ambient,Scenedesmus,424,253,22,7.23,0.5,25,24.7,1,flask
160,3,10-23-2010 15:00:00,5.08,C,ambient,Pseudokirchneriella,450,289,30,7.32,0.5,25,24.2,1,flask
161,3,10-23-2010 15:00:00,5.08,C,ambient,Synechococcus,443,254,20,7.33,0.5,25,24.9,1,flask
162,3,10-23-2010 15:00:00,5.08,C,ambient,Anabaena,446,319,42,7.22,0.5,25,24,1,flask
163,3,10-23-2010 15:00:00,5.08,F,high,Navicula,964,669,57,7.27,0.5,25,25,1,flask
164,3,10-23-2010 15:00:00,5.08,F,high,Nitzschia,928,623,52,7.16,0.5,25,25,1,flask
165,3,10-23-2010 15:00:00,5.08,F,high,Scenedesmus,967,693,38,7.24,0.7,25,24.9,1,flask
166,3,10-23-2010 15:00:00,5.08,F,high,Pseudokirchneriella,904,578,41,7.24,0.5,25,24.9,1,flask
167,3,10-23-2010 15:00:00,5.08,F,high,Synechococcus,1006,423,28,7.16,0.7,25,25.1,1,flask
168,3,10-23-2010 15:00:00,5.08,F,high,Anabaena,1010,741,41,7.26,0.5,25,25.1,1,flask
169,4,05-24-2012 0:00:00,3.5,A,ambient,Chlamydomonas,450,NA,280,NA,0.1,25,21.2,2,flask
170,4,05-24-2012 0:00:00,3.5,B,ambient,Chlamydomonas,450,NA,250,7.53,0.1,25,23,2,flask
171,4,05-24-2012 0:00:00,3.5,C,ambient,Chlamydomonas,450,NA,171,7.64,0.1,25,23.3,2,flask
172,4,05-24-2012 0:00:00,3.5,D,high,Chlamydomonas,1000,NA,600,7.1,0.1,25,22.3,2,flask
173,4,05-24-2012 0:00:00,3.5,E,high,Chlamydomonas,1000,NA,670,7.55,0.1,25,23.7,2,flask
174,4,05-24-2012 0:00:00,3.5,F,high,Chlamydomonas,1000,NA,500,7.64,0.1,25,24.1,2,flask
175,5,03-05-2012 0:00:00,3.5,A,ambient,Navicula,450,366,33,7.46,0.1,25,22,2,flask
176,5,03-05-2012 0:00:00,3.5,B,ambient,Navicula,450,366,38,7.17,0.1,25,22,2,flask
177,5,03-05-2012 0:00:00,3.5,D,high,Navicula,1000,799,251,7.21,0.1,25,22,2,flask
178,5,03-05-2012 0:00:00,3.5,E,high,Navicula,1000,864,331,7.2,0.1,25,22,2,flask
179,5,03-05-2012 0:00:00,3.5,A,ambient,Nitzschia,450,441,192,7.07,0.1,25,22,2,flask
180,5,03-05-2012 0:00:00,3.5,B,ambient,Nitzschia,450,467,225,7.17,0.1,25,22,2,flask
181,5,03-05-2012 0:00:00,3.5,D,high,Nitzschia,1000,1042,513,7.15,0.1,25,22,2,flask
182,5,03-05-2012 0:00:00,3.5,E,high,Nitzschia,1000,1042,548,7.18,0.1,25,22,2,flask
183,5,03-05-2012 0:00:00,3.5,A,ambient,Scenedesmus,450,285,17,7.26,0.1,25,22,2,flask
184,5,03-05-2012 0:00:00,3.5,B,ambient,Scenedesmus,450,263,13,7.33,0.1,25,22,2,flask
185,5,03-05-2012 0:00:00,3.5,D,high,Scenedesmus,1000,822,169,7.23,0.1,25,22,2,flask
186,5,03-05-2012 0:00:00,3.5,E,high,Scenedesmus,1000,731,204,7.21,0.1,25,22,2,flask
187,5,03-05-2012 0:00:00,3.5,A,ambient,Pseudokirchneriella,450,238,37,7.27,0.1,25,22,2,flask
188,5,03-05-2012 0:00:00,3.5,B,ambient,Pseudokirchneriella,450,240,34,7.31,0.1,25,22,2,flask
189,5,03-05-2012 0:00:00,3.5,D,high,Pseudokirchneriella,1000,818,397,7.22,0.1,25,22,2,flask
190,5,03-05-2012 0:00:00,3.5,E,high,Pseudokirchneriella,1000,818,335,7.22,0.1,25,22,2,flask
191,5,03-05-2012 0:00:00,3.5,A,ambient,Synechococcus,450,460,199,7.2,0.1,25,22,2,flask
192,5,03-05-2012 0:00:00,3.5,B,ambient,Synechococcus,450,457,250,7.18,0.1,25,22,2,flask
193,5,03-05-2012 0:00:00,3.5,D,high,Synechococcus,1000,1017,557,7.13,0.1,25,22,2,flask
194,5,03-05-2012 0:00:00,3.5,E,high,Synechococcus,1000,993,546,6.96,0.1,25,22,2,flask
195,5,03-05-2012 0:00:00,3.5,A,ambient,Anabaena,450,254,18,7.3,0.1,25,22,2,flask
196,5,03-05-2012 0:00:00,3.5,B,ambient,Anabaena,450,251,27,7.31,0.1,25,22,2,flask
197,5,03-05-2012 0:00:00,3.5,D,high,Anabaena,1000,499,29,7.2,0.1,25,22,2,flask
198,5,03-05-2012 0:00:00,3.5,E,high,Anabaena,1000,511,31,7.34,0.1,25,22,2,flask
199,5,03-05-2012 0:00:00,3.5,A,ambient,Chlamydomonas,450,207,35,7.31,0.1,25,22,2,flask
200,5,03-05-2012 0:00:00,3.5,B,ambient,Chlamydomonas,450,221,15,7.31,0.1,25,22,2,flask
201,5,03-05-2012 0:00:00,3.5,D,high,Chlamydomonas,1000,883,494,7.17,0.1,25,22,2,flask
202,5,03-05-2012 0:00:00,3.5,E,high,Chlamydomonas,1000,897,509,6.9,0.1,25,22,2,flask
203,6,03-05-2012 0:00:00,3.5,A,ambient,Blank,450,431,231,6.93,0.1,25,22,2,flask
204,6,03-05-2012 0:00:00,3.5,B,ambient,Blank,450,430,227,6.87,0.1,25,22,2,flask
205,6,03-05-2012 0:00:00,3.5,C,ambient,Blank,450,436,205,6.88,0.1,25,22,2,flask
206,6,03-05-2012 0:00:00,3.5,D,high,Blank,1000,1021,715,6.88,0.1,25,22,2,flask
207,6,03-05-2012 0:00:00,3.5,E,high,Blank,1000,1020,580,6.94,0.1,25,22,2,flask
208,6,03-05-2012 0:00:00,3.5,F,high,Blank,1000,927,569,6.95,0.1,25,22,2,flask
209,6,03-26-2012 0:00:00,3.5,A,ambient,Navicula,450,241,51,7.31,0.1,25,22,2,flask
210,6,03-26-2012 0:00:00,3.5,B,ambient,Navicula,450,323,82,7.32,0.1,25,22,2,flask
211,6,03-26-2012 0:00:00,3.5,C,ambient,Navicula,450,275,87,7.32,0.1,25,22,2,flask
212,6,03-26-2012 0:00:00,3.5,D,high,Navicula,1000,660,229,7.22,0.1,25,22,2,flask
213,6,03-26-2012 0:00:00,3.5,E,high,Navicula,1000,600,202,7.21,0.1,25,22,2,flask
214,6,03-26-2012 0:00:00,3.5,F,high,Navicula,1000,540,214,7.2,0.1,25,22,2,flask
215,6,03-26-2012 0:00:00,3.5,A,ambient,Nitzschia,450,443,69,7.07,0.1,25,22,2,flask
216,6,03-26-2012 0:00:00,3.5,B,ambient,Nitzschia,450,560,38,7.08,0.1,25,22,2,flask
217,6,03-26-2012 0:00:00,3.5,C,ambient,Nitzschia,450,461,70,7.08,0.1,25,22,2,flask
218,6,03-26-2012 0:00:00,3.5,D,high,Nitzschia,1000,799,532,7.04,0.1,25,22,2,flask
219,6,03-26-2012 0:00:00,3.5,E,high,Nitzschia,1000,981,508,6.99,0.1,25,22,2,flask
220,6,03-26-2012 0:00:00,3.5,F,high,Nitzschia,1000,949,512,6.99,0.1,25,22,2,flask
221,6,03-26-2012 0:00:00,3.5,A,ambient,Scenedesmus,450,255,96,7.15,0.1,25,22,2,flask
222,6,03-26-2012 0:00:00,3.5,B,ambient,Scenedesmus,450,390,7,7.14,0.1,25,22,2,flask
223,6,03-26-2012 0:00:00,3.5,C,ambient,Scenedesmus,450,518,2,7.14,0.1,25,22,2,flask
224,6,03-26-2012 0:00:00,3.5,D,high,Scenedesmus,1000,721,142,7.08,0.1,25,22,2,flask
225,6,03-26-2012 0:00:00,3.5,E,high,Scenedesmus,1000,602,202,7.04,0.1,25,22,2,flask
226,6,03-26-2012 0:00:00,3.5,F,high,Scenedesmus,1000,553,192,7.03,0.1,25,22,2,flask
227,6,03-26-2012 0:00:00,3.5,A,ambient,Pseudokirchneriella,450,530,35,7.13,0.1,25,22,2,flask
228,6,03-26-2012 0:00:00,3.5,B,ambient,Pseudokirchneriella,450,650,54,7.11,0.1,25,22,2,flask
229,6,03-26-2012 0:00:00,3.5,C,ambient,Pseudokirchneriella,450,486,57,7.1,0.1,25,22,2,flask
230,6,03-26-2012 0:00:00,3.5,D,high,Pseudokirchneriella,1000,799,325,7.04,0.1,25,22,2,flask
231,6,03-26-2012 0:00:00,3.5,E,high,Pseudokirchneriella,1000,822,332,7,0.1,25,22,2,flask
232,6,03-26-2012 0:00:00,3.5,F,high,Pseudokirchneriella,1000,788,283,7,0.1,25,22,2,flask
233,6,03-26-2012 0:00:00,3.5,A,ambient,Synechococcus,450,459,91,7.01,0.1,25,22,2,flask
234,6,03-26-2012 0:00:00,3.5,B,ambient,Synechococcus,450,429,222,7,0.1,25,22,2,flask
235,6,03-26-2012 0:00:00,3.5,C,ambient,Synechococcus,450,365,157,7,0.1,25,22,2,flask
236,6,03-26-2012 0:00:00,3.5,D,high,Synechococcus,1000,923,482,6.94,0.1,25,22,2,flask
237,6,03-26-2012 0:00:00,3.5,E,high,Synechococcus,1000,922,466,6.92,0.1,25,22,2,flask
238,6,03-26-2012 0:00:00,3.5,F,high,Synechococcus,1000,921,476,6.92,0.1,25,22,2,flask
239,6,03-26-2012 0:00:00,3.5,A,ambient,Anabaena,450,248,27,7.04,0.1,25,22,2,flask
240,6,03-26-2012 0:00:00,3.5,B,ambient,Anabaena,450,321,60,7.07,0.1,25,22,2,flask
241,6,03-26-2012 0:00:00,3.5,C,ambient,Anabaena,450,321,48,7.09,0.1,25,22,2,flask
242,6,03-26-2012 0:00:00,3.5,D,high,Anabaena,1000,696,11,7.09,0.1,25,22,2,flask
