assay,CO2 of rising,CO2 in chambers ppm,Assay CO2,Competition code,Diatom,Chlorophyte,Cyanobacteri,species,competitor,Competition,Fct competition,group,comp.coef,comp.coef.species
1,560,560,rising,9,,Pseudokirchneriella,,Pseudokirchneriella,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.175815
1,560,560,rising,9,,,,NA,,Navicula / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,10,Navicula,,,Navicula,Synechococcus,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,-0.141127627,-0.14113
1,560,360,ambient,10,,,,NA,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,10,,,Synechococcus,Synechococcus,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,0.141127627
1,560,360,ambient,10,Navicula,,,Navicula,Synechococcus,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,0.114459818,0.11446
1,560,360,ambient,10,,,,NA,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,10,,,Synechococcus,Synechococcus,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,-0.114459818
1,560,360,ambient,10,Navicula,,,Navicula,Synechococcus,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,0.054472591,0.05447
1,560,360,ambient,10,,,,NA,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,10,,,Synechococcus,Synechococcus,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,-0.054472591
1,560,560,rising,10,Navicula,,,Navicula,Synechococcus,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,-0.040707422,-0.04071
1,560,560,rising,10,,,,NA,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,10,,,Synechococcus,Synechococcus,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,0.040707422
1,560,560,rising,10,Navicula,,,Navicula,Synechococcus,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,0.132455929,0.13246
1,560,560,rising,10,,,,NA,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,10,,,Synechococcus,Synechococcus,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,-0.132455929
1,560,560,rising,10,Navicula,,,Navicula,Synechococcus,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,0.179930583,0.17993
1,560,560,rising,10,,,,NA,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,10,,,Synechococcus,Synechococcus,,Navicula /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,-0.179930583
1,560,360,ambient,11,Navicula,,,Navicula,Anabaena,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.107323997,-0.10732
1,560,360,ambient,11,,,,NA,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,11,,,Anabaena,Anabaena,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.107323997
1,560,360,ambient,11,Navicula,,,Navicula,Anabaena,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.108520028,-0.10852
1,560,360,ambient,11,,,,NA,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,11,,,Anabaena,Anabaena,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.108520028
1,560,360,ambient,11,Navicula,,,Navicula,Anabaena,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Diatom,0.021121865,0.02112
1,560,360,ambient,11,,,,NA,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,11,,,Anabaena,Anabaena,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,-0.021121865
1,560,560,rising,11,Navicula,,,Navicula,Anabaena,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.114791326,-0.11479
1,560,560,rising,11,,,,NA,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,11,,,Anabaena,Anabaena,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.114791326
1,560,560,rising,11,Navicula,,,Navicula,Anabaena,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.135438193,-0.13544
1,560,560,rising,11,,,,NA,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,11,,,Anabaena,Anabaena,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.135438193
1,560,560,rising,11,Navicula,,,Navicula,Anabaena,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.084858352,-0.08486
1,560,560,rising,11,,,,NA,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,11,,,Anabaena,Anabaena,,Navicula /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.084858352
1,560,360,ambient,12,Nitzschia,,,Nitzschia,Scenedesmus,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.096465807,-0.09647
1,560,360,ambient,12,,Scenedesmus,,Scenedesmus,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.096466
1,560,360,ambient,12,,,,NA,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,12,Nitzschia,,,Nitzschia,Scenedesmus,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.142280633,-0.14228
1,560,360,ambient,12,,Scenedesmus,,Scenedesmus,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.142281
1,560,360,ambient,12,,,,NA,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,12,Nitzschia,,,Nitzschia,Scenedesmus,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.088265891,-0.08827
1,560,360,ambient,12,,Scenedesmus,,Scenedesmus,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.088266
1,560,360,ambient,12,,,,NA,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,12,Nitzschia,,,Nitzschia,Scenedesmus,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.148248141,-0.14825
1,560,560,rising,12,,Scenedesmus,,Scenedesmus,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.148248
1,560,560,rising,12,,,,NA,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,12,Nitzschia,,,Nitzschia,Scenedesmus,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.108033316,-0.10803
1,560,560,rising,12,,Scenedesmus,,Scenedesmus,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.108033
1,560,560,rising,12,,,,NA,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,12,Nitzschia,,,Nitzschia,Scenedesmus,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Diatom,-0.100169201,-0.10017
1,560,560,rising,12,,Scenedesmus,,Scenedesmus,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Chlorophyte,,0.100169
1,560,560,rising,12,,,,NA,,Nitzschia / Scenedesmus / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,13,Nitzschia,,,Nitzschia,Pseudokirchneriella,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.273606152,0.27361
1,560,360,ambient,13,,Pseudokirchneriella,,Pseudokirchneriella,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.273606
1,560,360,ambient,13,,,,NA,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,13,Nitzschia,,,Nitzschia,Pseudokirchneriella,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.32778876,0.32779
1,560,360,ambient,13,,Pseudokirchneriella,,Pseudokirchneriella,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.327789
1,560,360,ambient,13,,,,NA,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,13,Nitzschia,,,Nitzschia,Pseudokirchneriella,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.225245946,0.22525
1,560,360,ambient,13,,Pseudokirchneriella,,Pseudokirchneriella,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.225246
1,560,360,ambient,13,,,,NA,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,13,Nitzschia,,,Nitzschia,Pseudokirchneriella,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.248310294,0.24831
1,560,560,rising,13,,Pseudokirchneriella,,Pseudokirchneriella,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.24831
1,560,560,rising,13,,,,NA,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,13,Nitzschia,,,Nitzschia,Pseudokirchneriella,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.251235002,0.25124
1,560,560,rising,13,,Pseudokirchneriella,,Pseudokirchneriella,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.251235
1,560,560,rising,13,,,,NA,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,560,rising,13,Nitzschia,,,Nitzschia,Pseudokirchneriella,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Diatom,0.290973395,0.29097
1,560,560,rising,13,,Pseudokirchneriella,,Pseudokirchneriella,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Chlorophyte,,-0.290973
1,560,560,rising,13,,,,NA,,Nitzschia / Pseudokirchneriella / ,Diatom vs Chlorophyte,Cyanobacteria,,
1,560,360,ambient,14,Nitzschia,,,Nitzschia,Synechococcus,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,0.161312124,0.16131
1,560,360,ambient,14,,,,NA,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,14,,,Synechococcus,Synechococcus,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,-0.161312124
1,560,360,ambient,14,Nitzschia,,,Nitzschia,Synechococcus,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,0.187459353,0.18746
1,560,360,ambient,14,,,,NA,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,14,,,Synechococcus,Synechococcus,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,-0.187459353
1,560,360,ambient,14,Nitzschia,,,Nitzschia,Synechococcus,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,-0.032496161,-0.0325
1,560,360,ambient,14,,,,NA,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,14,,,Synechococcus,Synechococcus,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,0.032496161
1,560,560,rising,14,Nitzschia,,,Nitzschia,Synechococcus,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,-0.071438287,-0.07144
1,560,560,rising,14,,,,NA,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,14,,,Synechococcus,Synechococcus,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,0.071438287
1,560,560,rising,14,Nitzschia,,,Nitzschia,Synechococcus,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,0.055560105,0.05556
1,560,560,rising,14,,,,NA,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,14,,,Synechococcus,Synechococcus,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,-0.055560105
1,560,560,rising,14,Nitzschia,,,Nitzschia,Synechococcus,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Diatom,0.04426489,0.04426
1,560,560,rising,14,,,,NA,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,14,,,Synechococcus,Synechococcus,,Nitzschia /  / Synechococcus,Diatom vs Cyanobacteria,Cyanobacteria,,-0.04426489
1,560,360,ambient,15,Nitzschia,,,Nitzschia,Anabaena,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.180545525,-0.18055
1,560,360,ambient,15,,,,NA,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,15,,,Anabaena,Anabaena,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.180545525
1,560,360,ambient,15,Nitzschia,,,Nitzschia,Anabaena,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.241128448,-0.24113
1,560,360,ambient,15,,,,NA,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,15,,,Anabaena,Anabaena,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.241128448
1,560,360,ambient,15,Nitzschia,,,Nitzschia,Anabaena,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.192684259,-0.19268
1,560,360,ambient,15,,,,NA,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,360,ambient,15,,,Anabaena,Anabaena,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.192684259
1,560,560,rising,15,Nitzschia,,,Nitzschia,Anabaena,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.17979369,-0.17979
1,560,560,rising,15,,,,NA,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,15,,,Anabaena,Anabaena,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.17979369
1,560,560,rising,15,Nitzschia,,,Nitzschia,Anabaena,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.16539519,-0.1654
1,560,560,rising,15,,,,NA,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,15,,,Anabaena,Anabaena,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.16539519
1,560,560,rising,15,Nitzschia,,,Nitzschia,Anabaena,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Diatom,-0.221321467,-0.22132
1,560,560,rising,15,,,,NA,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Chlorophyte,,
1,560,560,rising,15,,,Anabaena,Anabaena,,Nitzschia /  / Anabaena,Diatom vs Cyanobacteria,Cyanobacteria,,0.221321467
1,560,360,ambient,17,,,,NA,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,17,,Scenedesmus,,Scenedesmus,Synechococcus, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.540124555,0.540125
1,560,360,ambient,17,,,Synechococcus,Synechococcus,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Cyanobacteria,,-0.540124555
1,560,360,ambient,17,,,,NA,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,17,,Scenedesmus,,Scenedesmus,Synechococcus, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.24729307,0.247293
1,560,360,ambient,17,,,Synechococcus,Synechococcus,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Cyanobacteria,,-0.24729307
1,560,360,ambient,17,,,,NA,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,17,,Scenedesmus,,Scenedesmus,Synechococcus, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.216908535,0.216909
1,560,360,ambient,17,,,Synechococcus,Synechococcus,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Cyanobacteria,,-0.216908535
1,560,560,rising,17,,,,NA,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,560,rising,17,,Scenedesmus,,Scenedesmus,Synechococcus, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.070755938,0.070756
1,560,560,rising,17,,,Synechococcus,Synechococcus,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Cyanobacteria,,-0.070755938
1,560,560,rising,17,,,,NA,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,560,rising,17,,Scenedesmus,,Scenedesmus,Synechococcus, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.161226532,0.161227
1,560,560,rising,17,,,Synechococcus,Synechococcus,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Cyanobacteria,,-0.161226532
1,560,560,rising,17,,,,NA,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,560,rising,17,,Scenedesmus,,Scenedesmus,Synechococcus, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.179153658,0.179154
1,560,560,rising,17,,,Synechococcus,Synechococcus,, / Scenedesmus / Synechococcus,Chlorophyte vs Cyanobacteria,Cyanobacteria,,-0.179153658
1,560,360,ambient,18,,,,NA,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,18,,Scenedesmus,,Scenedesmus,Anabaena, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Chlorophyte,-0.108207577,-0.108208
1,560,360,ambient,18,,,Anabaena,Anabaena,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Cyanobacteria,,0.108207577
1,560,360,ambient,18,,,,NA,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,18,,Scenedesmus,,Scenedesmus,Anabaena, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Chlorophyte,-0.125546007,-0.125546
1,560,360,ambient,18,,,Anabaena,Anabaena,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Cyanobacteria,,0.125546007
1,560,360,ambient,18,,,,NA,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,18,,Scenedesmus,,Scenedesmus,Anabaena, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Chlorophyte,-0.167783118,-0.167783
1,560,360,ambient,18,,,Anabaena,Anabaena,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Cyanobacteria,,0.167783118
1,560,560,rising,18,,,,NA,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,560,rising,18,,Scenedesmus,,Scenedesmus,Anabaena, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Chlorophyte,-0.133904683,-0.133905
1,560,560,rising,18,,,Anabaena,Anabaena,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Cyanobacteria,,0.133904683
1,560,560,rising,18,,,,NA,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,560,rising,18,,Scenedesmus,,Scenedesmus,Anabaena, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Chlorophyte,-0.184991988,-0.184992
1,560,560,rising,18,,,Anabaena,Anabaena,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Cyanobacteria,,0.184991988
1,560,560,rising,18,,,,NA,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,560,rising,18,,Scenedesmus,,Scenedesmus,Anabaena, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Chlorophyte,-0.183947017,-0.183947
1,560,560,rising,18,,,Anabaena,Anabaena,, / Scenedesmus / Anabaena,Chlorophyte vs Cyanobacteria,Cyanobacteria,,0.183947017
1,560,360,ambient,19,,,,NA,, / Pseudokirchneriella / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,19,,Pseudokirchneriella,,Pseudokirchneriella,Synechococcus, / Pseudokirchneriella / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.039504417,0.039504
1,560,360,ambient,19,,,Synechococcus,Synechococcus,, / Pseudokirchneriella / Synechococcus,Chlorophyte vs Cyanobacteria,Cyanobacteria,,-0.039504417
1,560,360,ambient,19,,,,NA,, / Pseudokirchneriella / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,19,,Pseudokirchneriella,,Pseudokirchneriella,Synechococcus, / Pseudokirchneriella / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.155789403,0.155789
1,560,360,ambient,19,,,Synechococcus,Synechococcus,, / Pseudokirchneriella / Synechococcus,Chlorophyte vs Cyanobacteria,Cyanobacteria,,-0.155789403
1,560,360,ambient,19,,,,NA,, / Pseudokirchneriella / Synechococcus,Chlorophyte vs Cyanobacteria,Diatom,,
1,560,360,ambient,19,,Pseudokirchneriella,,Pseudokirchneriella,Synechococcus, / Pseudokirchneriella / Synechococcus,Chlorophyte vs Cyanobacteria,Chlorophyte,0.002397323,0.002397
